"fullname","number_contr","sloc","number_pullR","number_issues"
"wix/react-native-navigation",154,12166,22,243
"roughike/BottomBar",33,3083,29,294
"bluelinelabs/Conductor",28,11990,6,83
"aurelhubert/ahbottomnavigation",18,2328,18,115
"Nightonke/BoomMenu",3,8103,3,83
"Ashok-Varma/BottomNavigation",4,2306,2,33
"amitshekhariitbhu/Fast-Android-Networking",10,16504,2,107
"aa112901/remusic",2,40955,2,69
"daniulive/SmarterStreaming",1,14645,0,4
"mzule/ActivityRouter",4,1083,4,32
"CymChad/BaseRecyclerViewAdapterHelper",33,5923,1,92
"youth5201314/banner",2,1966,6,159
"sunfusheng/StickyHeaderListView",1,2431,0,7
"firebase/quickstart-android",49,9355,11,40
"north2016/T-MVP",2,4745,2,5
"HotBitmapGG/bilibili-android-client",1,25941,1,7
"barteksc/AndroidPdfViewer",10,3216,15,289
"Bilibili/MagicaSakura",7,5914,2,20
"ChadCSong/ShineButton",3,1079,1,20
"asLody/VirtualApp",34,43468,2,134
"robinhood/ticker",6,1493,0,8
"yipianfengye/android-zxingLibrary",5,2170,1,169
"Blankj/AndroidUtilCode",17,24770,1,17
"alibaba/freeline",17,5319,5,162
"smuyyh/BookReader",7,28997,0,25
"drakeet/MultiType",5,2379,0,1
"yanzhenjie/SwipeRecyclerView",3,4771,3,93
"BelooS/ChipsLayoutManager",2,7563,3,30
"google/cameraview",16,2815,30,169
"JessYanCoding/MVPArms",11,6850,0,4
"codeestX/GeekNews",3,12167,4,42
"airbnb/epoxy",27,40810,5,46
"romandanylyk/PageIndicatorView",11,3914,4,21
"amitshekhariitbhu/RxJava2-Android-Samples",14,3358,1,10
"Tencent/tinker",17,31981,1,86
"topjohnwu/Magisk",90,8456,4,41
"yanzhenjie/AndPermission",3,3373,0,41
"KeepSafe/TapTargetView",22,1799,1,9
"TangoAgency/material-intro-screen",3,4512,16,74
"airbnb/native-navigation",21,5025,16,71
"vondear/RxTool",2,43579,0,104
"airbnb/lottie-android",59,12181,5,42
"lygttpod/SuperTextView",2,3788,0,9
