"fullname","number_contr","sloc","number_pullR","number_issues"
"zaproxy/zaproxy",99,164107,16,648
"lets-blade/blade",14,16233,0,15
"graphql-java/graphql-java",111,33490,14,44
"kevin-wayne/algs4",6,21377,4,14
"jfoenixadmin/JFoenix",38,23706,1,52
"elasticjob/elastic-job-lite",17,16224,8,92
"ChrisRM/material-theme-jetbrains",36,17815,0,13
"apache/incubator-heron",93,79636,56,383
"dbeaver/dbeaver",54,295167,2,713
"apache/incubator-skywalking",64,54743,7,99
"xuxueli/xxl-job",16,6114,4,54
"changmingxie/tcc-transaction",2,6763,4,156
"oracle/graal",112,696361,21,225
"sharding-sphere/sharding-sphere",34,57045,2,38
"hs-web/hsweb-framework",16,46821,0,6
"sohutv/cachecloud",6,59636,9,95
"brianway/java-learning",2,11051,3,4
"Vedenin/useful-java-links",36,6968,0,1
"ctripcorp/apollo",21,42688,1,134
"weibocom/motan",26,35712,7,326
"zouzg/mybatis-generator-gui",10,2610,5,73
"Microsoft/malmo",22,17983,0,90
"vespa-engine/vespa",41,603732,17,60
"gitpitch/gitpitch",8,6056,0,16
"TheAlgorithms/Java",110,7924,92,96
"baomidou/mybatis-plus",34,16319,0,20
"dyc87112/SpringBoot-Learning",1,4080,7,16
"dyc87112/SpringCloud-Learning",2,1742,1,9
"shuzheng/zheng",8,30203,4,27
